title,artists,rank,year,first_artist,title_fmtd,lyrics
Can't Stop The Feeling!,Justin Timberlake,9,2016,justin timberlake,cant stop the feeling,"I got this feeling inside my bones @ It goes electric, wavey when I turn it on @ All through my city, all through my home @ We're flying up, no ceiling, when we in our zone @ I got that sunshine in my pocket @ Got that good soul in my feet @ I feel that hot blood in my body when it drops  @ I can't take my eyes up off it, moving so phenomenally @ Room on lock, the way we rock it, so don't stop @ And under the lights when everything goes @ Nowhere to hide when I'm getting you close @ When we move, well, you already know @ So just imagine  @ Nothing I can see but you when you dance, dance, dance @ A feeling good, good, creeping up on you @ So just dance, dance, dance, come on @ All those things I shouldn't do @ But you dance, dance, dance @ And ain't nobody leaving soon, so keep dancing @ I can't stop the feeling! @ So just dance, dance, dance @ I can't stop the feeling! @ So just dance, dance, dance @ Come on @ Ooh, it's something magical @ It's in the air, it's in my blood, it's rushing on @ I don't need no reason, don't need control @ I fly so high, no ceiling, when I'm in my zone @ 'Cause I got that sunshine in my pocket @ Got that good soul in my feet @ I feel that hot blood in my body when it drops, ooh @ I can't take my eyes up off it, moving so phenomenally @ Room on lock, the way we rock it, so don't stop @ And under the lights when everything goes @ Nowhere to hide when I'm getting you close @ When we move, well, you already know @ So just imagine  @ Nothing I can see but you when you dance, dance, dance @ A feeling good, good, creeping up on you @ So just dance, dance, dance, come on @ All those things I shouldn't do @ But you dance, dance, dance @ And ain't nobody leaving soon, so keep dancing @ I can't stop the feeling! @ So just dance, dance, dance @ I can't stop the feeling! @ So just dance, dance, dance  @ I can't stop the feeling! @ So just dance, dance, dance @ I can't stop the feeling! @ So keep dancing @ Come on @ Oh, yeah @ I can't stop the, I can't stop the @ I can't stop the, I can't stop the @ I can't stop the feeling! @ Nothing I can see but you when you dance, dance, dance @ Feeling good, good, creeping up on you @ So just dance, dance, dance, come on @ All those things I shouldn't do @ But you dance, dance, dance @ And ain't nobody leaving soon, so keep dancing @ Everybody sing @ Got this feeling in my body @ Got this feeling in my body @ Wanna see you move your body @ Got this feeling in my body, come on @ Break it down @ Got this feeling in my body @ I can't stop the feeling! @ Got this feeling in my body, come on"
Closer,The Chainsmokers Featuring Halsey,10,2016,the chainsmokers,closer,"Hey, I was doing just fine before I met you @ I drink too much @ And that's an issue, but I'm okay @ Hey, you tell your friends @ It was nice to meet them @ But I hope I never see them again @ I know it breaks your heart @ Moved to the city in a broke-down car @ And four years, no calls @ Now you're lookin' pretty in a hotel bar @ And I-I-I can't stop @ No, I-I-I can't stop @ So, baby, pull me closer @ In the backseat of your Rover @ That I know you can't afford @ Bite that tattoo on your shoulder @ Pull the sheets right off the corner @ Of the mattress that you stole @ From your roommate back in Boulder @ We ain't ever getting older @ We ain't ever getting older @ We ain't ever getting older @ You look as good as the day I met you @ I forget just why I left you, I was insane @ Stay and play that blink-182 song @ That we beat to death in Tucson, okay @ I know it breaks your heart @ Moved to the city in a broke-down car @ And four years, no call @ Now I'm lookin' pretty in a hotel bar @ And I-I-I can't stop @ No, I-I-I can't stop @ So, baby, pull me closer @ In the backseat of your Rover @ That I know you can't afford @ Bite that tattoo on your shoulder @ Pull the sheets right off the corner @ Of the mattress that you stole @ From your roommate back in Boulder @ We ain't ever getting older @ We ain't ever getting older @ We ain't ever getting older @ So, baby, pull me closer @ In the backseat of your Rover @ That I know you can't afford @ Bite that tattoo on your shoulder @ Pull the sheets right off the corner @ Of the mattress that you stole @ From your roommate back in Boulder @ We ain't ever getting older @ We ain't ever getting older @ ( @ No, we ain't ever getting older @ ) @ We ain't ever getting older @ ( @ No, we ain't ever getting older @ ) @ We ain't ever getting older @ ( @ We ain't ever getting older @ ) @ We ain't ever getting older @ ( @ No, we ain't ever getting older @ ) @ ( @ We ain't ever getting older @ ) @ ( @ No, we ain't ever getting older @ )"
Cheap Thrills,Sia Featuring Sean Paul,11,2016,sia,cheap thrills,"Come on, come on, turn the radio on @ It's Friday night and I won't be long @ Gotta do my hair, put my make up on @ It's Friday night and I won't be long @ 'Til I hit the dance floor, hit the dance floor @ I got all I need @ No, I ain't got cash, I ain't got cash @ But I got you, baby @ Baby, I don't need dollar bills to have fun tonight @ Baby, I don't need dollar bills to have fun tonight @ But I don't need no money @ As long as I can feel the beat @ I don't need no money @ As long as I keep dancing @ Come on, come on, turn the radio on @ It's Saturday and I won't be long @ Gotta paint my nails, put my high heels on @ It's Saturday and I won't be long @ 'Til I hit the dance floor, hit the dance floor @ I got all I need @ No, I ain't got cash, I ain't got cash @ But I got you, baby @ Baby, I don't need dollar bills to have fun tonight @ Baby, I don't need dollar bills to have fun tonight @ But I don't need no money @ As long as I can feel the beat @ I don't need no money @ As long as I keep dancing @ I don't need no money @ As long as I can feel the beat @ I don't need no money @ As long as I keep dancing @ Baby, I don't need dollar bills to have fun tonight @ Baby, I don't need dollar bills to have fun tonight @ I don't need no money @ As long as I can feel the beat @ I don't need no money @ As long as I keep dancing @ La, la, la, la, la, la, la @ La, la, la, la, la, la, la @ La, la, la, la, la, la, la @ La, la, la, la, la, la, la"
7 Years,Lukas Graham,12,2016,lukas graham,7 years,"Once, I was seven years old, my mama told me @ ""Go make yourself some friends, or you'll be lonely"" @ Once, I was seven years old @ It was a big, big world, but we thought we were bigger @ Pushing each other to the limits, we were learning quicker @ By eleven, smoking herb and drinking burning liquor @ Never rich, so we were out to make that steady figure @ Once, I was eleven years old, my daddy told me @ ""Go get yourself a wife, or you'll be lonely"" @ Once, I was eleven years old @ I always had that dream like my daddy before me @ So I started writing songs, I started writing stories @ Something about that glory just always seemed to bore me @ 'Cause only those I really love will ever really know me @ Once, I was twenty years old, my story got told @ Before the morning sun, when life was lonely @ Once, I was twenty years old  @ I only see my goals, I don't believe in failure @ 'Cause I know the smallest voices, they can make it major @ I got my boys with me, at least those in favor @ And if we don't meet before I leave, I hope I'll see you later @ Once, I was twenty years old, my story got told @ I was writing 'bout everything I saw before me @ Once, I was twenty years old @ Soon, we'll be thirty years old, our songs have been sold @ We've traveled around the world and we're still roaming @ Soon, we'll be thirty years old @ I'm still learning about life, my woman brought children for me @ So I can sing them all my songs, and I can tell them stories @ Most of my boys are with me, some are still out seeking glory @ And some I had to leave behind, my brother, I'm still sorry @ Soon, I'll be sixty years old, my daddy got sixty-one @ Remember life and then your life becomes a better one @ I made a man so happy when I wrote a letter once @ I hope my children come and visit once or twice a month @ Soon, I'll be sixty years old, will I think the world is cold? @ Or will I have a lot of children who can warm me? @ Soon, I'll be sixty years old @ Soon, I'll be sixty years old, will I think the world is cold? @ Or will I have a lot of children who can hold me? @ Soon, I'll be sixty years old @ Once, I was seven years old, my mama told me @ ""Go make yourself some friends, or you'll be lonely"" @ Once I was seven years old @ Once I was seven years old"
Needed Me,Rihanna,13,2016,rihanna,needed me,"Mustard on the beat, ho! @ I was good on my own, that's the way it was @ That's the way it was @ You was good on the low for a faded fuck @ On some faded love @ Shit, what the fuck you complaining for? @ Feeling jaded, huh? @ Used to trip off that shit I was kickin' to you @ Had some fun on the run though I'll give it to you @ But baby, don't get it twisted @ You was just another nigga on the hit list @ Tryna fix your inner issues with a bad bitch @ Didn't they tell you that I was a savage? @ Fuck ya white horse and ya carriage @ Bet you never could imagine @ Never told you you could have it @ You needed me @ Ooh, you needed me @ To feel a little more, and give a little less @ Know you hate to confess @ But baby ooh, you needed me @ You been rollin' around, shit I'm rollin' up @ Light and roll it up @ Break it down, like a pound, shit was never us @ Shit was never us @ That's the real, on the real, are you serious? @ How you feel, how you feel? @ Used to trip off that shit I was kickin' to ya @ Had some fun on the run though, I'll give it to ya @ But baby, don't get it twisted @ You was just another nigga on the hit list @ Tryna fix your inner issues with a bad bitch @ Didn't they tell you that I was a savage? @ Fuck ya white horse and ya carriage @ Bet you never could imagine @ Never told you you could have it @ You needed me @ Ooh, you needed me @ To feel a little more, and give a little less @ Know you hate to confess @ But baby ooh, you needed me"
My House,Flo Rida,14,2016,flo rida,my house,"Open up the champagne, pop! @ It's my house, come on, turn it up @ Hear a knock on the door and the night begins @ 'Cause we done this before, so you come on in @ Make yourself at my home, tell me where you been @ Pour yourself something cold, baby, cheers to this @ Sometimes you gotta stay in @ And you know where I live @ Yeah, you know what we is @ Sometimes you gotta stay in, in @ Welcome to my house @ Baby, take control now @ We can't even slow down @ We don't have to go out @ Welcome to my house @ Play that music too loud @ Show me what you do now @ We don't have to go out @ Welcome to my house @ Welcome to my house @ Morning comes and you know that you wanna stay @ Close the blinds, let's pretend that the time has changed @ Keep our clothes on the floor, open up champagne @ Let's continue tonight, come on, celebrate  @ Sometimes you gotta stay in @ And you know where I live @ Yeah, you know what we is @ Sometimes you gotta stay in, in @ Welcome to my house @ Baby, take control now @ We can't even slow down @ We don't have to go out @ Welcome to my house @ Play that music too loud @ Show me what you do now @ We don't have to go out @ Welcome to my house @ Welcome to my house @ Welcome to my duck off the crib, the spot, the pad @ But my house is your house if you throwin' it back @ Excuse me if my home's draining the sad @ Soon as these happy faces land you can run with the cash @ Homerun, slam dunk, touchdown pass @ Mi casa es tu casa so it ain't no holding back @ Another shot of vodka, you know what's in my glass @ It's my house, just relax @ Welcome to my house @ Baby, take control now @ We can't even slow down @ We don't have to go out @ Welcome to my house @ Play that music too loud @ Show me what you do now @ We don't have to go out @ Welcome to my house @ Welcome to my house @ Welcome to my house @ It's my house"
I Took A Pill In Ibiza,Mike Posner,15,2016,mike posner,i took a pill in ibiza,"I took a pill in Ibiza to show Avicii I was cool @ And when I finally got sober, felt 10 years older @ But fuck it, it was something to do @ I'm living out in LA, I drive a sports car just to prove @ I'm a real big baller 'cause I made a million dollars @ And I spend it on girls and shoes @ But you don't wanna be high like me @ Never really knowing why like me @ You don't ever wanna step off that roller coaster @ And be all alone @ You don't wanna ride the bus like this @ Never knowing who to trust like this @ You don't wanna be stuck up on that stage singing @ Stuck up on that stage singing @ All I know are sad songs, sad songs @ Darling, all I know are sad songs, sad songs @ I'm just a singer who already blew his shot @ I get along with old timers @ 'Cause my name's a reminder of a pop song people forgot @ And I can't keep a girl, no @ 'Cause as soon as the sun comes up @ I cut 'em all loose and work's my excuse @ But the truth is I can't open up @ Now you don't wanna be high like me @ Never really knowing why like me @ You don't ever wanna step off that roller coaster @ And be all alone @ You don't wanna ride the bus like this @ Never knowing who to trust like this @ You don't wanna be stuck up on that stage singing @ Stuck up on that stage singing @ All I know are sad songs, sad songs @ Darling, all I know are sad songs, sad songs  @ I took a plane to my hometown @ I brought my pride and my guitar @ All my friends are all gone but there's manicured lawns @ And the people still think I'm a star @ I walked around downtown @ I met some fans on Lafayette @ They said tell us how to make it 'cause we're getting real impatient @ So I looked 'em in the eye and said @ You don't wanna be high like me @ Never really knowing why like me @ You don't ever wanna step off that roller coaster @ And be all alone @ You don't wanna ride the bus like this @ Never knowing who to trust like this @ You don't wanna be stuck up on that stage singing @ Stuck up on that stage singing @ All I know are sad songs, sad songs @ Darling, all I know are sad songs, sad songs"
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,16,2016,fifth harmony,work from home,"I ain't worried 'bout nothin', I ain't wearin' na-nada @ I'm sittin' pretty, impatient, but I know you gotta @ Put in them hours, I'ma make it harder @ I'm sending pic after picture, I'ma get you fired @ I know you're always on the night shift @ But I can't stand these nights alone @ And I don't need no explanation @ 'Cause, baby, you're the boss at home @ You don't gotta go to work, work, work, work @ Work, work, work @ But you gotta put in work, work, work, work @ Work, work, work @ You don't gotta go to work, work, work, work @ Work, work, work @ Let my body do the work, work, work, work @ Work, work, work @ We can work from home, oh, oh, oh-oh @ We can work from home, oh, oh, oh-oh @ Let's put it into motion, I'ma give you a promotion @ I'll make it feel like a vacay, turn the bed into an ocean @ We don't need nobody, I just need your body @ Nothin' but sheets in between us, ain't no getting off early @ [Pre-Chorus: Dinah  @ + Camila @ ] @ I know you're always on the night shift @ But I can't stand these nights alone @ And I don't need no explanation @ 'Cause, baby,  @ you're the boss at home @ You don't gotta go to work, work, work, work @ Work, work, work @ But you gotta put in work, work, work, work @ Work, work, work @ You don't gotta go to work, work, work, work @ Work, work, work @ Let my body do the work, work, work, work @ Work, work, work @ We can work from home, oh, oh, oh-oh @ We can work from home, oh, oh, oh-oh @  Oh yeah @ Girl go to work for me  @ Can you make it clap, no hands for me?  @ Take it to the ground, pick it up for me @ Look back at it all over me  @ Put in work like my timesheet  @ She ride it like a '63  @ I'ma buy her new Céline  @ Let her ride in a foreign with me @ Oh, she the bae, I'm her boo @ And she down to break the rules @ Ride or die, @   @ she gon' go @ I'm gon' juug, she finessin' @ I pipe her, she take that @ Put in overtime on your body @ [Chorus: Lauren,  @ Camila @  &  @ Dinah @ ] @ You don't gotta go to work, work, work, work @ Work, work, work ( @ You ain't gotta go to work, no oh oh @ ) @ But you gotta put in work, work, work, work @ Work, work, work ( @ No..., @   @ oh yeah @ ) @ You don't gotta go to work, work, work, work @ Work, work, work @ Let my body do the work, work, work, work @ Work, work, work  @ We can work from home, oh, oh, oh-oh @ We can work from home, oh, oh, oh-oh @ Yeah, we can work from home @ Yeah, we can work from home @ Yeah"
This Is What You Came For,Calvin Harris Featuring Rihanna,17,2016,calvin harris,this is what you came for,"Baby, this is what you came for @ Lightning strikes every time she moves @ And everybody's watchin' her @ But she's lookin' at @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh, ooh, ooh @ Baby, this is what you came for @ Lightning strikes every time she moves @ And everybody's watchin' her @ But she's lookin' at @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh, ooh, ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh, ooh, ooh @ We go fast with the game we play  @ Who knows why it's gotta be this way  @ We say nothin' more than we need  @ I say, ""your place"" when we leave @ Baby, this is what you came for @ Lightning strikes every time she moves @ And everybody's watchin' her @ But she's lookin' at @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh, ooh, ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh, ooh, ooh @ Baby, this is what you came for @ Lightning strikes every time she moves @ Yeah @ Baby, this is what you came for @ Lightning strikes every time she moves @ And everybody's watchin' her @ But she's lookin' at @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh, ooh, ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh-ooh @ You, ooh-ooh, you, ooh, ooh, ooh"
Cake By The Ocean,DNCE,18,2016,dnce,cake by the ocean,"Nah, nah, nah @ Cake by the ocean @ Oh, no @ See you walkin' 'round like it's a funeral @ Not so serious girl, why those feet cold? @ We just gettin' started, don't you tiptoe, tiptoe @ Waste time with a masterpiece, don't waste time with a masterpiece  @ You should be rollin' with me, you should be rollin' with me  @ You're a real-life fantasy, you're a real-life fantasy  @ But you're movin' so carefully, let's start livin' dangerously @ Talk to me, baby @ I'm goin' blind from this sweet, sweet craving, whoa-oh @ Let's lose our minds and go fucking crazy @ I-I-I-I-I keep on hopin' we'll eat cake by the ocean @ Walk for me, baby @ I'll be Diddy, you'll be Naomi, whoa-oh @ Let's lose our minds and go fucking crazy @ I-I-I-I-I keep on hopin' we'll eat cake by the ocean @ Goddamn @ See you lickin' frostin' from your own hands @ Want another taste, I'm beggin', ""Yes, ma'am"" @ I'm tired of all this candy on the dry land, dry land, ooh @ Waste time with a masterpiece, don't waste time with a masterpiece  @ You should be rollin' with me, you should be rollin' with me  @ You're a real-life fantasy, you're a real-life fantasy  @ But you're movin' so carefully, let's start livin' dangerously @ Talk to me, baby @ I'm goin' blind from this sweet, sweet craving, whoa-oh @ Let's lose our minds and go fucking crazy  @ I-I-I-I-I keep on hopin' we'll eat cake by the ocean  @ Walk for me, baby  @ I'll be Diddy, you'll be Naomi, whoa-oh @ Let's lose our minds and go fucking crazy @ I-I-I-I-I keep on hopin' we'll eat cake by the ocean  @ Ooh, ah, ah @ I-I-I-I-I keep on hopin' we'll eat cake by the ocean @ Ooh, ah, ah @ I-I-I-I-I keep on hopin' we'll eat cake by the ocean @ You're fucking delicious, haha @ Talk to me, girl @ Talk to me, baby  @ I'm goin' blind from this sweet, sweet craving, whoa-oh @ Let's lose our minds and go fucking crazy @ I-I-I-I-I keep on hopin' we'll eat cake by the ocean  @ Walk for me, baby  @ I'll be Diddy, you'll be Naomi, whoa-oh @ Let's lose our minds and go , fucking crazy  @ I-I-I-I-I keep on hopin' , we'll eat cake by the ocean, hot damn @ Red velvet, vanilla, chocolate in my life @ Funfetti, I'm ready, I need it every night @ Red velvet, vanilla, chocolate in my life @ I-I-I-I-I keep on hopin' we'll eat cake by the ocean"
"Me, Myself & I",G-Eazy x Bebe Rexha,19,2016,g eazy x bebe rexha,me myself and i,URL-ERROR-LYRICS-NOT-FOUND
Ride,twenty one pilots,20,2016,twenty one pilots,ride,"I just wanna stay in the sun where I find @ I know it's hard sometimes @ Pieces of peace in the sun's peace of mind @ I know it's hard sometimes @ Yeah, I think about the end just way too much @ But it's fun to fantasize @ On my enemies who wouldn't wish who I was @ But it's fun to fantasize  @ Oh-woah-woah, oh-woah-woah, I'm fallin' @ So I'm takin' my time on my ride, oh-woah-woah, I'm fallin' @ So I'm takin' my time on my ride @ Takin' my time on my ride @ ""I'd die for you,"" that's easy to say @ We have a list of people that we would take @ A bullet for them, a bullet for you @ A bullet for everybody in this room @ But I don't seem to see many bullets comin' through @ See many bullets comin' through @ Metaphorically, I'm the man @ But literally, I don't know what I'd do @ ""I'd live for you,"" an' that's hard to do @ Even harder to say when you know it's not true @ Even harder to write when you know that tonight @ There were people back home who tried talking to you @ But then you ignore them still @ All these questions they're for real @ Like who would you live for? Who would you die for? @ And would you ever kill? @ Oh-woah-woah, oh-woah-woah, I'm fallin' @ So I'm takin' my time on my ride, oh-woah-woah, I'm fallin' @ So I'm takin' my time on my ride @ Takin' my time on my ride @ I've been thinkin' too much @ I've been thinkin' too much @ I've been thinkin' too much @ I've been thinkin' too much @ Help me @ I've been thinkin' too much @ I've been thinkin' too much @ I've been thinkin' too much @ Help me @ I've been thinkin' too much @ I've been thinkin' too much @ I've been thinkin' too much @ Oh-woah-woah, oh-woah-woah, I'm fallin' @ So I'm takin' my time on my ride, oh-woah-woah, I'm fallin' @ So I'm takin' my time @ Takin' my time on my ride, woah-oh-oh  @ Oh-woah-woah, oh-woah-woah, I'm fallin' @ So I'm takin' my time on my ride, oh-woah-woah, I'm fallin' @ So I'm takin' my time on my @ I've been thinkin' too much @ Help me @ I've been thinkin' too much @ Help me @ I've been thinkin' too much @ I've been thinkin' too much @ I've been thinkin' too much @ Help me @ I've been thinkin' too much @ I've been thinkin' too much @ I've been thinkin' too much @ Help me"
Heathens,twenty one pilots,21,2016,twenty one pilots,heathens,"All my friends are heathens, take it slow  @ Wait for them to ask you who you know @ Please don't make any sudden moves @ You don't know the half of the abuse @ All my friends are heathens, take it slow @ Wait for them to ask you who you know @ Please don't make any sudden moves @ You don't know the half of the abuse @ Welcome to the room of people @ Who have rooms of people that they loved one day @ Docked away @ Just because we check the guns at the door @ Doesn't mean our brains will change from hand grenades @ You’ll never know the psychopath sitting next to you @ You’ll never know  the murderer sitting next to you @ You'll think, ""How'd I get here, sitting next to you?"" @ But after all I've said, please don't forget @ All my friends are heathens, take it slow @ Wait for them to ask you who you know @ Please don't make any sudden moves @ You don't know the half of the abuse @ We don't deal with outsiders very well @ They say newcomers have a certain smell @ You have trust issues, not to mention @ They say they can smell your intentions @ You'll never know the freak show sitting next to you @ You'll have some weird people sitting next to you @ You'll think ""How did I get here, sitting next to you?"" @ But after all I've said, please don't forget @ All my friends are heathens, take it slow  @ Wait for them to ask you who you know @ Please don't make any sudden moves @ You don't know the half of the abuse @ All my friends are heathens, take it slow @   @ Wait for them to ask you who you know @   @ Please all my friends are heathens, take it slow @   @ Wait for them to ask you who you know @ Why'd you come? You knew you should have stayed  @ I tried to warn you just to stay away  @ And now they're outside ready to bust  @ It looks like you might be one of us"
Pillowtalk,Zayn,22,2016,zayn,pillowtalk,"Climb on board @ We'll go slow and high tempo @ Light and dark @ Hold me hard and mellow @ I'm seeing the pain, seeing the pleasure @ Nobody but you, 'body but me @ 'Body but us, bodies together @ I love to hold you close, tonight and always @ I love to wake up next to you @ I love to hold you close, tonight and always @ I love to wake up next to you @ So we'll piss off the neighbours @ In the place that feels the tears @ The place to lose your fears @ Yeah, reckless behavior @ A place that is so pure, so dirty and raw @ In the bed all day, bed all day, bed all day @ Fucking and fighting on @ It's our paradise and it's our war zone @ It's our paradise and it's our war zone @ Pillow talk @ My enemy, my ally @ Prisoners @ Then we're free, it's a thin line @ I'm seeing the pain, seeing the pleasure @ Nobody but you, 'body but me @ 'Body but us, bodies together @ I love to hold you close, tonight and always @ I love to wake up next to you @ So we'll piss off the neighbours @ In the place that feels the tears @ The place to lose your fears @ Yeah, reckless behavior @ A place that is so pure, so dirty and raw @ In the bed all day, bed all day, bed all day @ Fucking and fighting on @ It's our paradise and it's our war zone @ It's our paradise and it's our war zone @ Paradise, paradise, paradise, paradise @ War zone, war zone, war zone, war zone @ Paradise, paradise, paradise, paradise @ War zone, war zone, war zone, war zone @ So we'll piss off the neighbours @ In the place that feels the tears @ The place to lose your fears @ Yeah, reckless behavior @ A place that is so pure, so dirty and raw @ In the bed all day, bed all day, bed all day @ Fucking and fighting on @ It's our paradise and it's our war zone @ It's our paradise and it's our war zone"
Stitches,Shawn Mendes,23,2016,shawn mendes,stitches,"I thought that I've been hurt before @ But no one's ever left me quite this sore @ Your words cut deeper than a knife @ Now I need someone to breathe me back to life @ Got a feeling that I'm going under @ But I know that I'll make it out alive @ If I quit calling you my lover @ Move on @ You watch me bleed until I can't breathe, shaking @ Falling onto my knees @ And now that I'm without your kisses @ I'll be needing stitches @ Tripping over myself, aching @ Begging you to come help @ And now that I'm without your kisses @ I'll be needing stitches @ Just like a moth drawn to a flame @ Oh, you lured me in I couldn't sense the pain @ Your bitter heart, cold to the touch @ Now I'm gonna reap what I sow @ I'm left  @ seeing red @  on my own @ Got a feeling that I'm going under @ But I know that I'll make it out alive @ If I quit calling you my lover @ Move on @ You watch me bleed until I can't breathe, shaking @ Falling onto my knees @ And now that I'm without your kisses @ I'll be needing stitches @ Tripping over myself, aching @ Begging you to come help @ And now that I'm without your kisses @ I'll be needing stitches @ Needle and the thread, gotta get you out of my head @ Needle and the thread, gonna wind up dead @ Needle and the thread, gotta get you out of my head @ Needle and the thread, gonna wind up dead @ Needle and the thread, gotta get you out of my head @ Needle and the thread, gonna wind up dead @ Needle and the thread, gotta get you out of my head @ Get you out of my head @ You watch me bleed until I can't breathe, shaking @ Falling onto my knees @ And now that I'm without your kisses @ I'll be needing stitches @ Tripping over myself, aching @ Begging you to come help @ And now that I'm without your kisses @ I'll be needing stitches @ Now that I'm without your kisses @ I'll be needing stitches @ Now that I'm without your kisses @ I'll be needing stitches"
Hotline Bling,Drake,24,2016,drake,hotline bling,"You used to call me on my @ You used to, you used to @ Yeah @ You used to call me on my cell phone @ Late-night when you need my love @ Call me on my cell phone @ Late-night when you need my love @ And I know when that hotline bling @ That can only mean one thing @ I know when that hotline bling @ That can only mean one thing @ Ever since I left the city, you @ Got a reputation for yourself now @ Everybody knows and I feel left out @ Girl, you got me down, you got me stressed out @ 'Cause ever since I left the city, you @ Started wearing less and goin' out more @ Glasses of champagne out on the dance floor @ Hangin' with some girls I've never seen before @ You used to call me on my cell phone @ Late-night when you need my love @ Call me on my cell phone @ Late-night when you need my love @ I know when that hotline bling @ That can only mean one thing @ I know when that hotline bling @ That can only mean one thing @ Ever since I left the city, you, you, you @ You and me, we just don't get along @ You make me feel like I did you wrong @ Going places where you don't belong @ Ever since I left the city, you @ You got exactly what you asked for @ Running out of pages in your passport @ Hangin' with some girls I've never seen before @ You used to call me on my cell phone @ Late-night when you need my love @ Call me on my cell phone @ Late-night when you need my love @ And I know when that hotline bling @ That can only mean one thing @ I know when that hotline bling @ That can only mean one thing @ These days, all I do is @ Wonder if you're bendin' over backwards for someone else @ Wonder if you're rolling up a Backwoods for someone else @ Doing things I taught you, gettin' nasty for someone else @ You don't need no one else @ You don't need nobody else, no @ Why you never alone? @ Why you always touching road? @ Used to always stay at home @ Be a good girl, you was in the zone @ Yeah, you should just be yourself @ Right now, you're someone else @ You used to call me on my cell phone @ Late-night when you need my love @ Call me on my cell phone @ Late-night when you need my love @ And I know when that hotline bling @ That can only mean one thing @ I know when that hotline bling @ That can only mean one thing @ Ever since I left the city…"
Cold Water,Major Lazer Featuring Justin Bieber & MO,25,2016,major lazer,cold water,"Everybody gets high sometimes, you know @ What else can we do when we're feelin' low? @ So take a deep breath and let it go @ You shouldn't be drowning on your own @ And if you feel you're sinking, I will jump right over @ Into cold, cold water for you @ And although time may take us into different places @ I will still be patient with you @ And I hope you know... @ I won't let go @ I'll be your lifeline tonight @ I won't let go @ I'll be your lifeline tonight @ 'Cause we all get lost sometimes, you know? @ It's how we learn and how we grow @ And I wanna lay with you 'til I'm old, o-old @ You shouldn't be fighting on your own @ And if you feel you're sinking, I will jump right over @ Into cold, cold water for you @ And although time may take us into different places @ I will still be patient with you @ And I hope you know... @ I won't let go @ And I won't let go, no-no, no-no, no I won't @ I'll be your lifeline tonight @ I won't let go @ I'll be your lifeline tonight @ Come on, come on @ Save me from my rocking boat @ I just wanna stay afloat @ I'm all alone @ And I hope, I hope someone's gonna take me home @ Somewhere I can rest my soul  @ I need to know you won't let go @ [Chorus: Justin Bieber &  @ MØ @ ] @ And I won't let go, no-no, no-no, no, I won't @ I'll be your lifeline tonight @ You won't let go @ I'll be your lifeline tonight @ I won't let go, no no, no no, no, I won't @ I'll be your lifeline tonight @ You won't let go @ I'll be your lifeline tonight"
Send My Love (To Your New Lover),Adele,26,2016,adele,send my love to your new lover,"Just the guitar? @ Okay, cool @ This was all you, none of it me @ You put your hands on, on my body and told me @ Mmm, told me you were ready @ For the big one, for the big jump @ I'd be your last love, everlasting, you and me @ Mmm, that was what you told me @ I'm giving you up @ I've forgiven it all @ You set me free @ Send my love to your new lover @ Treat her better @ We've gotta let go of all of our ghosts @ We both know we ain't kids no more @ Send my love to your new lover @ Treat her better @ We've gotta let go of all of our ghosts @ We both know we ain't kids no more @ I was too strong, you were trembling @ You couldn't handle the hot heat rising  @ Mmm, baby, I'm still rising @ I was running, you were walking @ You couldn't keep up, you were falling down  @ Mmm, there's only one way down @ I'm giving you up @ I've forgiven it all @ You set me free, oh @ Send my love to your new lover @ Treat her better @ We've gotta let go of all of our ghosts @ We both know we ain't kids no more @ Send my love to your new lover @ Treat her better @ We've gotta let go of all of our ghosts @ We both know we ain't kids no more @ If you're ready, if you're ready @ If you're ready, I am ready @ If you're ready, if you're ready @ We both know we ain't kids no more @ No, we ain't kids no more @ I'm giving you up @ I've forgiven it all @ You set me free @ Send my love to your new lover @ Treat her better @ We've gotta let go of all of our ghosts @ We both know we ain't kids no more @ Send my love to your new lover @ Treat her better @ We've gotta let go of all of our ghosts @ We both know we ain't kids no more @ If you're ready, if you're ready @ If you're ready, are you ready? @ We've gotta let go of all of our ghosts @ We both know we ain't kids no more @ If you're ready, if you're ready @ If you're ready, are you ready? @ We've gotta let go of all of our ghosts @ We both know we ain't kids no more"
