title,artists,rank,year,first_artist,title_fmtd
Life After You,Daughtry,96,2010,daughtry,life after you
Smile,Uncle Kracker,97,2010,uncle kracker,smile
Teach Me How To Dougie,Cali Swag District,98,2010,cali swag district,teach me how to dougie
Try Sleeping With A Broken Heart,Alicia Keys,99,2010,alicia keys,try sleeping with a broken heart
"Lover, Lover",Jerrod Niemann,100,2010,jerrod niemann,lover lover
Rolling In The Deep,Adele,1,2011,adele,rolling in the deep
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2,2011,lmfao,party rock anthem
Firework, Katy Perry,3,2011,katy perry,firework
E.T.,Katy Perry Featuring Kanye West,4,2011,katy perry,et
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,2011,pitbull,give me everything
Grenade,Bruno Mars,6,2011,bruno mars,grenade
Super Bass,Nicki Minaj,8,2011,nicki minaj,super bass
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,9,2011,maroon 5,moves like jagger
Just Can't Get Enough,The Black Eyed Peas,10,2011,the black eyed peas,just cant get enough
On The Floor,Jennifer Lopez Featuring Pitbull,11,2011,jennifer lopez,on the floor
S&M,Rihanna,12,2011,rihanna,s-m
Pumped Up Kicks,Foster The People,13,2011,foster the people,pumped up kicks
Last Friday Night (T.G.I.F.),Katy Perry,14,2011,katy perry,last friday night tgif
Just The Way You Are,Bruno Mars,15,2011,bruno mars,just the way you are
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,16,2011,enrique iglesias,tonight im lovin you
Raise Your Glass,P!nk,17,2011,pink,raise your glass
Born This Way,Lady Gaga,18,2011,lady gaga,born this way
F**kin' Perfect,P!nk,19,2011,pink,f**kin perfect
What's My Name?,Rihanna Featuring Drake,20,2011,rihanna,whats my name
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,21,2011,chris brown,look at me now
Down On Me,Jeremih Featuring 50 Cent,22,2011,jeremih,down on me
How To Love,Lil Wayne,23,2011,lil wayne,how to love
Someone Like You,Adele,24,2011,adele,someone like you
Good Life,OneRepublic,25,2011,onerepublic,good life
The Lazy Song,Bruno Mars,26,2011,bruno mars,the lazy song
Till The World Ends,Britney Spears,27,2011,britney spears,till the world ends
The Show Goes On,Lupe Fiasco,28,2011,lupe fiasco,the show goes on
The Edge Of Glory,Lady Gaga,29,2011,lady gaga,the edge of glory
We R Who We R,Ke$ha,30,2011,kesha,we r who we r
Black And Yellow,Wiz Khalifa,31,2011,wiz khalifa,black and yellow
Tonight Tonight,Hot Chelle Rae,32,2011,hot chelle rae,tonight tonight
Blow,Ke$ha,33,2011,kesha,blow
Lighters,Bad Meets Evil Featuring Bruno Mars,34,2011,bad meets evil,lighters
If I Die Young,The Band Perry,35,2011,the band perry,if i die young
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,36,2011,gym class heroes,stereo hearts
The Time (Dirty Bit),The Black Eyed Peas,37,2011,the black eyed peas,the time dirty bit
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,38,2011,diddy  dirty money,coming home
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,39,2011,pitbull,hey baby drop it to the floor
Only Girl (In The World),Rihanna,40,2011,rihanna,only girl in the world
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,41,2011,lil wayne,6 foot 7 foot
Just A Kiss,Lady Antebellum,42,2011,lady antebellum,just a kiss
Dirt Road Anthem,Jason Aldean,43,2011,jason aldean,dirt road anthem
Dynamite,Taio Cruz,44,2011,taio cruz,dynamite
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,45,2011,waka flocka flame,no hands
I Wanna Go,Britney Spears,46,2011,britney spears,i wanna go
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",47,2011,dj khaled,im on one
You Make Me Feel...,Cobra Starship Featuring Sabi,48,2011,cobra starship,you make me feel
Yeah 3X,Chris Brown,49,2011,chris brown,yeah 3x
Moment 4 Life,Nicki Minaj Featuring Drake,50,2011,nicki minaj,moment 4 life
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,51,2011,dr dre,i need a doctor
Just A Dream ,Nelly,52,2011,nelly,just a dream 
Motivation,Kelly Rowland Featuring Lil Wayne,53,2011,kelly rowland,motivation
Stereo Love,Edward Maya & Vika Jigulina,54,2011,edward maya,stereo love
Jar Of Hearts,Christina Perri,55,2011,christina perri,jar of hearts
Roll Up,Wiz Khalifa,56,2011,wiz khalifa,roll up
Sexy And I Know It,LMFAO,57,2011,lmfao,sexy and i know it
Rocketeer,Far*East Movement Featuring Ryan Tedder,58,2011,far east movement,rocketeer
All Of The Lights,Kanye West,59,2011,kanye west,all of the lights
Hold It Against Me,Britney Spears,60,2011,britney spears,hold it against me
More,Usher,61,2011,usher,more
What The Hell,Avril Lavigne,62,2011,avril lavigne,what the hell
Written In The Stars,Tinie Tempah Featuring Eric Turner,63,2011,tinie tempah,written in the stars
Bottoms Up,Trey Songz Featuring Nicki Minaj,64,2011,trey songz,bottoms up
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,65,2011,usher,dj got us fallin in love
For The First Time,The Script,66,2011,the script,for the first time
Honey Bee,Blake Shelton,67,2011,blake shelton,honey bee
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,68,2011,jason aldean,dont you wanna stay
We Found Love,Rihanna Featuring Calvin Harris,69,2011,rihanna,we found love
Pretty Girl Rock,Keri Hilson,70,2011,keri hilson,pretty girl rock
You And I,Lady Gaga,71,2011,lady gaga,you and i
Like A G6,Far*East Movement Featuring Cataracs & Dev,72,2011,far east movement,like a g6
Without You,David Guetta Featuring Usher,73,2011,david guetta,without you
Back To December,Taylor Swift,74,2011,taylor swift,back to december
Teenage Dream,Katy Perry,75,2011,katy perry,teenage dream
Crazy Girl,Eli Young Band,76,2011,eli young band,crazy girl
Cheers (Drink To That),Rihanna,77,2011,rihanna,cheers drink to that
Who Says,Selena Gomez & The Scene,78,2011,selena gomez,who says
Barefoot Blue Jean Night,Jake Owen,79,2011,jake owen,barefoot blue jean night
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,80,2011,zac brown band,knee deep
Country Girl (Shake It For Me),Luke Bryan,81,2011,luke bryan,country girl shake it for me
Remind Me,Brad Paisley Duet With Carrie Underwood,82,2011,brad paisley duet,remind me
In The Dark,Dev,83,2011,dev,in the dark
Backseat,New Boyz Featuring The Cataracs & Dev,84,2011,new boyz,backseat
Headlines,Drake,85,2011,drake,headlines
Best Thing I Never Had,Beyonce,86,2011,beyonce,best thing i never had
Don't Wanna Go Home,Jason Derulo,87,2011,jason derulo,dont wanna go home
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,88,2011,david guetta,where them girls at
She Ain't You,Chris Brown,89,2011,chris brown,she aint you
Take A Back Road,Rodney Atkins,90,2011,rodney atkins,take a back road
Please Don't Go,Mike Posner,91,2011,mike posner,please dont go
Sure Thing,Miguel,92,2011,miguel,sure thing
Price Tag,Jessie J Featuring B.o.B,93,2011,jessie j,price tag
God Gave Me You,Blake Shelton,94,2011,blake shelton,god gave me you
She Will ,Lil Wayne Featuring Drake,95,2011,lil wayne,she will 
Are You Gonna Kiss Me Or Not,Thompson Square,96,2011,thompson square,are you gonna kiss me or not
Animal,Neon Trees,97,2011,neon trees,animal
You And Tequila,Kenny Chesney Featuring Grace Potter,98,2011,kenny chesney,you and tequila
Colder Weather,Zac Brown Band,99,2011,zac brown band,colder weather
My Last,Big Sean Featuring Chris Brown,100,2011,big sean,my last
Somebody That I Used To Know,Gotye Featuring Kimbra,1,2012,gotye,somebody that i used to know
Call Me Maybe,Carly Rae Jepsen,2,2012,carly rae jepsen,call me maybe
We Are Young,fun. Featuring Janelle Monae,3,2012,fun,we are young
Payphone,Maroon 5 Featuring Wiz Khalifa,4,2012,maroon 5,payphone
Lights,Ellie Goulding,5,2012,ellie goulding,lights
Glad You Came,The Wanted,6,2012,the wanted,glad you came
Stronger (What Doesn't Kill You),Kelly Clarkson,7,2012,kelly clarkson,stronger what doesnt kill you
We Found Love,Rihanna Featuring Calvin Harris,8,2012,rihanna,we found love
Starships,Nicki Minaj,9,2012,nicki minaj,starships
What Makes You Beautiful,One Direction,10,2012,one direction,what makes you beautiful
Wild Ones,Flo Rida Featuring Sia,11,2012,flo rida,wild ones
Set Fire To The Rain,Adele,12,2012,adele,set fire to the rain
Sexy And I Know It,LMFAO,13,2012,lmfao,sexy and i know it
Some Nights,fun.,14,2012,fun,some nights
Wide Awake,Katy Perry,15,2012,katy perry,wide awake
Good Feeling,Flo Rida,16,2012,flo rida,good feeling
Whistle,Flo Rida,17,2012,flo rida,whistle
One More Night,Maroon 5,18,2012,maroon 5,one more night
Drive By,Train,19,2012,train,drive by
The Motto,Drake Featuring Lil Wayne,20,2012,drake,the motto
Where Have You Been,Rihanna,21,2012,rihanna,where have you been
Everybody Talks,Neon Trees,22,2012,neon trees,everybody talks
Take Care,Drake Featuring Rihanna,23,2012,drake,take care
Titanium,David Guetta Featuring Sia,24,2012,david guetta,titanium
I Won't Give Up,Jason Mraz,25,2012,jason mraz,i wont give up
It Will Rain,Bruno Mars,26,2012,bruno mars,it will rain
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",27,2012,"kanye west, big sean, pusha t, 2 chainz",mercy
Boyfriend,Justin Bieber,28,2012,justin bieber,boyfriend
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,29,2012,lmfao,party rock anthem
Too Close,Alex Clare,30,2012,alex clare,too close
Part Of Me,Katy Perry,31,2012,katy perry,part of me
" Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,32,2012,snoop dogg, young wild and free
We Are Never Ever Getting Back Together,Taylor Swift,33,2012,taylor swift,we are never ever getting back together
As Long As You Love Me,Justin Bieber Featuring Big Sean,34,2012,justin bieber,as long as you love me
Turn Me On,David Guetta Featuring Nicki Minaj,35,2012,david guetta,turn me on
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,36,2012,maroon 5,moves like jagger
Blow Me (One Last Kiss),P!nk,37,2012,pink,blow me one last kiss
Good Time,Owl City & Carly Rae Jepsen,38,2012,owl city,good time
Give Your Heart A Break,Demi Lovato,39,2012,demi lovato,give your heart a break
Ni**as in Paris,Jay Z Kanye West,40,2012,jay z kanye west,ni**as in paris
The One That Got Away,Katy Perry,41,2012,katy perry,the one that got away
Feel So Close,Calvin Harris,42,2012,calvin harris,feel so close
Someone Like You,Adele,43,2012,adele,someone like you
Scream,Usher,44,2012,usher,scream
Rack City,Tyga,45,2012,tyga,rack city
Domino,Jessie J,46,2012,jessie j,domino
Gangnam Style,PSY,47,2012,psy,gangnam style
International Love,Pitbull Featuring Chris Brown,48,2012,pitbull,international love
Home,Phillip Phillips,49,2012,phillip phillips,home
Without You,David Guetta Featuring Usher,50,2012,david guetta,without you
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,51,2012,gym class heroes,ass back home
Wanted,Hunter Hayes,52,2012,hunter hayes,wanted
Drunk On You,Luke Bryan,53,2012,luke bryan,drunk on you
No Lie,2 Chainz Featuring Drake,54,2012,2 chainz,no lie
Want U Back,Cher Lloyd,55,2012,cher lloyd,want u back
Don't Wake Me Up,Chris Brown,56,2012,chris brown,dont wake me up
Dance (A$$),Big Sean Featuring Nicki Minaj,57,2012,big sean,dance a$$
Springsteen,Eric Church,58,2012,eric church,springsteen
Brokenhearted,Karmin,59,2012,karmin,brokenhearted
Not Over You,Gavin DeGraw,60,2012,gavin degraw,not over you
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,61,2012,gym class heroes,stereo hearts
Back In Time,Pitbull,62,2012,pitbull,back in time
Work Out,J. Cole,63,2012,j cole,work out
Rumour Has It,Adele,64,2012,adele,rumour has it
Let's Go,Calvin Harris Featuring Ne-Yo,65,2012,calvin harris,lets go
Good Girl,Carrie Underwood,66,2012,carrie underwood,good girl
Pontoon,Little Big Town,67,2012,little big town,pontoon
Ho Hey,The Lumineers,68,2012,the lumineers,ho hey
Paradise,Coldplay,69,2012,coldplay,paradise
Blown Away,Carrie Underwood,70,2012,carrie underwood,blown away
Rolling In The Deep,Adele,71,2012,adele,rolling in the deep
Climax,Usher,72,2012,usher,climax
"Work Hard, Play Hard",Wiz Khalifa,73,2012,wiz khalifa,work hard play hard
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,74,2012,ne yo,let me love you until you learn to love yourself
Pound The Alarm,Nicki Minaj,75,2012,nicki minaj,pound the alarm
Come Over,Kenny Chesney,76,2012,kenny chesney,come over
Heart Attack,Trey Songz,77,2012,trey songz,heart attack
Drank In My Cup,Kirko Bangz,78,2012,kirko bangz,drank in my cup
Birthday Cake,Rihanna Featuring Chris Brown,79,2012,rihanna,birthday cake
So Good,B.o.B,80,2012,bob,so good
50 Ways To Say Goodbye,Train,81,2012,train,50 ways to say goodbye
Red Solo Cup,Toby Keith,82,2012,toby keith,red solo cup
Love You Like A Love Song,Selena Gomez & The Scene,83,2012,selena gomez,love you like a love song
Turn Up The Music,Chris Brown,84,2012,chris brown,turn up the music
Die Young,Ke$ha,85,2012,kesha,die young
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,86,2012,t pain,5 oclock
A Thousand Years,Christina Perri,87,2012,christina perri,a thousand years
Take A Little Ride,Jason Aldean,88,2012,jason aldean,take a little ride
You Da One,Rihanna,89,2012,rihanna,you da one
We Run The Night,Havana Brown Featuring Pitbull,90,2012,havana brown,we run the night
It's Time,Imagine Dragons,91,2012,imagine dragons,its time
Cashin' Out,Ca$h Out,92,2012,cash out,cashin out
I Don't Want This Night To End,Luke Bryan,93,2012,luke bryan,i dont want this night to end
Diamonds,Rihanna,94,2012,rihanna,diamonds
Hard To Love,Lee Brice,95,2012,lee brice,hard to love
Somethin' 'Bout A Truck,Kip Moore,96,2012,kip moore,somethin bout a truck
Adorn,Miguel,97,2012,miguel,adorn
Fly Over States,Jason Aldean,98,2012,jason aldean,fly over states
Even If It Breaks Your Heart,Eli Young Band,99,2012,eli young band,even if it breaks your heart
Burn It Down,Linkin Park,100,2012,linkin park,burn it down
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,2013,macklemore,thrift shop
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2,2013,robin thicke,blurred lines
Radioactive,Imagine Dragons,3,2013,imagine dragons,radioactive
Harlem Shake,Baauer,4,2013,baauer,harlem shake
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,5,2013,macklemore,cant hold us
Mirrors,Justin Timberlake,6,2013,justin timberlake,mirrors
Just Give Me A Reason,P!nk Featuring Nate Ruess,7,2013,pink,just give me a reason
When I Was Your Man,Bruno Mars,8,2013,bruno mars,when i was your man
Cruise,Florida Georgia Line Featuring Nelly,9,2013,florida georgia line,cruise
Roar,Katy Perry,10,2013,katy perry,roar
Locked Out Of Heaven,Bruno Mars,11,2013,bruno mars,locked out of heaven
Ho Hey,The Lumineers,12,2013,the lumineers,ho hey
Stay,Rihanna Featuring Mikky Ekko,13,2013,rihanna,stay
Get Lucky,Daft Punk Featuring Pharrell Williams,14,2013,daft punk,get lucky
Royals,Lorde,15,2013,lorde,royals
I Knew You Were Trouble.,Taylor Swift,16,2013,taylor swift,i knew you were trouble
We Can't Stop,Miley Cyrus,17,2013,miley cyrus,we cant stop
Wrecking Ball,Miley Cyrus,18,2013,miley cyrus,wrecking ball
Wake Me Up!,Avicii,19,2013,avicii,wake me up
Suit & Tie,Justin Timberlake Featuring JAY Z,20,2013,justin timberlake,suit and tie
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,21,2013,anna kendrick,cups pitch perfects when im gone
Holy Grail,Jay Z Featuring Justin Timberlake,22,2013,jay z,holy grail
Scream & Shout,will.i.am & Britney Spears,23,2013,william,scream and shout
Clarity,Zedd Featuring Foxes,24,2013,zedd,clarity
Sail,AWOLNATION,25,2013,awolnation,sail
Don't You Worry Child,Swedish House Mafia Featuring John Martin,26,2013,swedish house mafia,dont you worry child
Diamonds,Rihanna,27,2013,rihanna,diamonds
I Love It,Icona Pop Featuring Charli XCX,28,2013,icona pop,i love it
Safe And Sound,Capital Cities,29,2013,capital cities,safe and sound
Treasure,Bruno Mars,30,2013,bruno mars,treasure
The Way,Ariana Grande Featuring Mac Miller,31,2013,ariana grande,the way
Started From The Bottom,Drake,32,2013,drake,started from the bottom
Come & Get It,Selena Gomez,33,2013,selena gomez,come and get it
"Hold On, We're Going Home",Drake Featuring Majid Jordan,34,2013,drake,hold on were going home
Daylight,Maroon 5,35,2013,maroon 5,daylight
Feel This Moment,Pitbull Featuring Christina Aguilera,36,2013,pitbull,feel this moment
Applause,Lady Gaga,37,2013,lady gaga,applause
One More Night,Maroon 5,38,2013,maroon 5,one more night
Love Me,Lil Wayne Featuring Drake & Future,39,2013,lil wayne,love me
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,40,2013,fall out boy,my songs know what you did in the dark light em up
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",41,2013,asap rocky,f**kin problems
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,42,2013,justin bieber,beauty and a beat
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,43,2013,macklemore,same love
Sweet Nothing,Calvin Harris Featuring Florence Welch,44,2013,calvin harris,sweet nothing
Summertime Sadness,Lana Del Rey & Cedric Gervais,45,2013,lana del rey,summertime sadness
 Home,Phillip Phillips,46,2013,phillip phillips, home
It's Time,Imagine Dragons,47,2013,imagine dragons,its time
Power Trip,J. Cole Featuring Miguel,48,2013,j cole,power trip
Girl On Fire,Alicia Keys Featuring Nicki Minaj,49,2013,alicia keys,girl on fire
Heart Attack,Demi Lovato,50,2013,demi lovato,heart attack
Love Somebody,Maroon 5,51,2013,maroon 5,love somebody
I Will Wait,Mumford & Sons,52,2013,mumford,i will wait
Try,P!nk,53,2013,pink,try
Wagon Wheel,Darius Rucker,54,2013,darius rucker,wagon wheel
Gangnam Style,PSY,55,2013,psy,gangnam style
I Need Your Love,Calvin Harris Featuring Ellie Goulding,56,2013,calvin harris,i need your love
Die Young,Ke$ha,57,2013,kesha,die young
Some Nights,fun.,58,2013,fun,some nights
Bad,Wale Featuring Tiara Thomas Or Rihanna,59,2013,wale,bad
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,60,2013,blake shelton,boys round here
"Gone, Gone, Gone",Phillip Phillips,61,2013,phillip phillips,gone gone gone
Demons,Imagine Dragons ,62,2013,imagine dragons,demons
Counting Stars,OneRepublic,63,2013,onerepublic,counting stars
I Cry,Flo Rida,64,2013,flo rida,i cry
Little Talks,Of Monsters And Men,65,2013,of monsters and men,little talks
The Other Side,Jason Derulo,66,2013,jason derulo,the other side
Berzerk,Eminem,67,2013,eminem,berzerk
Catch My Breath,Kelly Clarkson,68,2013,kelly clarkson,catch my breath
Crash My Party,Luke Bryan,69,2013,luke bryan,crash my party
Pour It Up,Rihanna,70,2013,rihanna,pour it up
22,Taylor Swift,71,2013,taylor swift,22
I Want Crazy,Hunter Hayes,72,2013,hunter hayes,i want crazy
The Fox,Ylvis,73,2013,ylvis,the fox
Best Song Ever,One Direction,74,2013,one direction,best song ever
The A Team,Ed Sheeran,75,2013,ed sheeran,the a team
Carry On,fun.,76,2013,fun,carry on
Highway Don't Care,Tim McGraw With Taylor Swift,77,2013,tim mcgraw,highway dont care
That's My Kind Of Night,Luke Bryan,78,2013,luke bryan,thats my kind of night
Swimming Pools (Drank),Kendrick Lamar,79,2013,kendrick lamar,swimming pools drank
Sure Be Cool If You Did,Blake Shelton,80,2013,blake shelton,sure be cool if you did
#Beautiful,Mariah Carey Featuring Miguel,81,2013,mariah carey,#beautiful
Troublemaker,Olly Murs Featuring Flo Rida,82,2013,olly murs,troublemaker
Body Party,Ciara,83,2013,ciara,body party
Adorn,Miguel,84,2013,miguel,adorn
Hall Of Fame,The Script Featuring will.i.am,85,2013,the script,hall of fame
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,86,2013,ne yo,let me love you until you learn to love yourself
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,87,2013,rocko,uoeno
Next To Me,Emeli Sande,88,2013,emeli sande,next to me
Mama's Broken Heart,Miranda Lambert,89,2013,miranda lambert,mamas broken heart
It Goes Like This,Thomas Rhett,90,2013,thomas rhett,it goes like this
Bugatti,Ace Hood Featuring Future & Rick Ross,91,2013,ace hood,bugatti
Wanted,Hunter Hayes,92,2013,hunter hayes,wanted
Downtown,Lady Antebellum,93,2013,lady antebellum,downtown
Get Your Shine On,Florida Georgia Line,94,2013,florida georgia line,get your shine on
#thatPOWER,will.i.am Featuring Justin Bieber,95,2013,william,#thatpower
Brave,Sara Bareilles,96,2013,sara bareilles,brave
Let Her Go,Passenger,97,2013,passenger,let her go
Runnin' Outta Moonlight,Randy Houser,98,2013,randy houser,runnin outta moonlight
I'm Different,2 Chainz,99,2013,2 chainz,im different
 Still Into You,Paramore,100,2013,paramore, still into you
Happy,Pharrell Williams,1,2014,pharrell williams,happy
Dark Horse,Katy Perry Featuring Juicy J,2,2014,katy perry,dark horse
All Of Me,John Legend,3,2014,john legend,all of me
